task_id,instance_id,baseline_id,model,expected_model_variant,observed_model_variants,model_binding_valid,fault_id,fault_layer,covered,fault_triggered,strict_success,repair_round,repair_attempts,repair_at_1,repair_at_2,repair_at_4,compile_status,execution_status,numerical_status,gradient_status,update_status,patch_count,out_of_scope_edit_count,llm_calls,prompt_tokens,completion_tokens,total_tokens,api_cost_usd,wall_time_sec,failure_reason,final_patch,raw_report
TC-CNN-NU,TC-CNN-NU,c_direct,cnn,cnn,cnn,True,NU-01,numerical,True,True,False,,1,False,False,False,pass,pass,failed,failed,failed,1,0,1,907,23675,24582,,240.517888,strict_verifier_failed,experiments/baselines/track_c/c_direct/candidates/TC-CNN-NU.py,experiments/baselines/track_c/c_direct/raw/TC-CNN-NU.json
TC-CNN-GR,TC-CNN-GR,c_direct,cnn,cnn,cnn,True,GR-01,gradient_update,True,True,True,1,1,True,True,True,pass,pass,pass,pass,pass,1,0,1,905,14720,15625,,200.248,,experiments/baselines/track_c/c_direct/candidates/TC-CNN-GR.py,experiments/baselines/track_c/c_direct/raw/TC-CNN-GR.json
TC-MLP-EX,TC-MLP-EX,c_ivy,mlp,mlp,mlp,True,EX-01,execution,True,True,False,,1,False,False,False,failed,failed,failed,failed,failed,0,0,0,0,0,0,,86.411387,strict_verifier_failed,experiments/baselines/track_c/c_ivy/candidates/TC-MLP-EX.py,experiments/baselines/track_c/c_ivy/raw/TC-MLP-EX.json
TC-MLP-NU,TC-MLP-NU,c_ivy,mlp,mlp,mlp,True,NU-01,numerical,True,True,False,,1,False,False,False,pass,pass,failed,failed,failed,0,0,0,0,0,0,,90.423867,strict_verifier_failed,experiments/baselines/track_c/c_ivy/candidates/TC-MLP-NU.py,experiments/baselines/track_c/c_ivy/raw/TC-MLP-NU.json
TC-MLP-GR,TC-MLP-GR,c_ivy,mlp,mlp,mlp,True,GR-01,gradient_update,True,True,False,,1,False,False,False,pass,pass,pass,failed,failed,0,0,0,0,0,0,,92.494251,strict_verifier_failed,experiments/baselines/track_c/c_ivy/candidates/TC-MLP-GR.py,experiments/baselines/track_c/c_ivy/raw/TC-MLP-GR.json
TC-CNN-EX,TC-CNN-EX,c_ivy,cnn,cnn,cnn,True,EX-01,execution,True,True,False,,1,False,False,False,failed,failed,failed,failed,failed,0,0,0,0,0,0,,97.696922,strict_verifier_failed,experiments/baselines/track_c/c_ivy/candidates/TC-CNN-EX.py,experiments/baselines/track_c/c_ivy/raw/TC-CNN-EX.json
TC-CNN-NU,TC-CNN-NU,c_ivy,cnn,cnn,cnn,True,NU-01,numerical,True,True,False,,1,False,False,False,pass,pass,failed,failed,failed,0,0,0,0,0,0,,104.79529,strict_verifier_failed,experiments/baselines/track_c/c_ivy/candidates/TC-CNN-NU.py,experiments/baselines/track_c/c_ivy/raw/TC-CNN-NU.json
TC-CNN-GR,TC-CNN-GR,c_ivy,cnn,cnn,cnn,True,GR-01,gradient_update,True,True,False,,1,False,False,False,pass,pass,pass,failed,failed,0,0,0,0,0,0,,103.379707,strict_verifier_failed,experiments/baselines/track_c/c_ivy/candidates/TC-CNN-GR.py,experiments/baselines/track_c/c_ivy/raw/TC-CNN-GR.json
TC-MLP-EX,TC-MLP-EX,c_torch2jax,mlp,mlp,mlp,True,EX-01,execution,True,True,False,,1,False,False,False,failed,failed,failed,failed,failed,0,0,0,0,0,0,,13.150434,strict_verifier_failed,experiments/baselines/track_c/c_torch2jax/candidates/TC-MLP-EX.py,experiments/baselines/track_c/c_torch2jax/raw/TC-MLP-EX.json
TC-MLP-NU,TC-MLP-NU,c_torch2jax,mlp,mlp,mlp,True,NU-01,numerical,True,True,False,,1,False,False,False,pass,pass,failed,failed,failed,0,0,0,0,0,0,,21.894646,strict_verifier_failed,experiments/baselines/track_c/c_torch2jax/candidates/TC-MLP-NU.py,experiments/baselines/track_c/c_torch2jax/raw/TC-MLP-NU.json
TC-MLP-GR,TC-MLP-GR,c_torch2jax,mlp,mlp,mlp,True,GR-01,gradient_update,True,True,False,,1,False,False,False,pass,pass,pass,failed,failed,0,0,0,0,0,0,,20.548713,strict_verifier_failed,experiments/baselines/track_c/c_torch2jax/candidates/TC-MLP-GR.py,experiments/baselines/track_c/c_torch2jax/raw/TC-MLP-GR.json
TC-CNN-EX,TC-CNN-EX,c_torch2jax,cnn,cnn,cnn,True,EX-01,execution,True,True,False,,1,False,False,False,failed,failed,failed,failed,failed,0,0,0,0,0,0,,13.364291,strict_verifier_failed,experiments/baselines/track_c/c_torch2jax/candidates/TC-CNN-EX.py,experiments/baselines/track_c/c_torch2jax/raw/TC-CNN-EX.json
TC-CNN-NU,TC-CNN-NU,c_torch2jax,cnn,cnn,cnn,True,NU-01,numerical,True,True,False,,1,False,False,False,pass,pass,failed,failed,failed,0,0,0,0,0,0,,22.215936,strict_verifier_failed,experiments/baselines/track_c/c_torch2jax/candidates/TC-CNN-NU.py,experiments/baselines/track_c/c_torch2jax/raw/TC-CNN-NU.json
TC-CNN-GR,TC-CNN-GR,c_torch2jax,cnn,cnn,cnn,True,GR-01,gradient_update,True,True,False,,1,False,False,False,pass,pass,pass,failed,failed,0,0,0,0,0,0,,20.771549,strict_verifier_failed,experiments/baselines/track_c/c_torch2jax/candidates/TC-CNN-GR.py,experiments/baselines/track_c/c_torch2jax/raw/TC-CNN-GR.json
